,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice,SalePrice_norm
295,120,RL,43.0,2887,Reg,HLS,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,5,1996,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,1003.0,Unf,0.0,288.0,1291.0,GasA,Ex,Y,SBrkr,1291,0,0,1291,1.0,0.0,1,0,2,1,Gd,6,Typ,1,Gd,Attchd,1996.0,Unf,2.0,431.0,TA,TA,Y,307,0,0,0,0,0,0,11,2008,WD ,173000.0,12.061046873479915
296,30,RM,60.0,8520,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1928,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Gd,Y,SBrkr,720,0,0,720,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Detchd,2005.0,Unf,2.0,484.0,TA,TA,Y,106,0,0,0,0,0,0,5,2010,WD ,105900.0,11.570250531589497
297,180,RM,21.0,1596,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,462.0,Unf,0.0,0.0,462.0,GasA,TA,Y,SBrkr,526,462,0,988,1.0,0.0,1,0,2,1,TA,5,Typ,0,None,BuiltIn,1973.0,Unf,1.0,297.0,TA,TA,Y,120,101,0,0,0,0,0,11,2009,WD ,91000.0,11.418614785498987
298,50,RL,78.0,15600,Reg,Bnk,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7,1949,2005,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,312.0,Rec,507.0,248.0,1067.0,GasW,Fa,N,SBrkr,986,537,0,1523,1.0,0.0,2,0,3,1,Fa,7,Maj2,1,TA,Attchd,1949.0,Unf,1.0,295.0,TA,TA,Y,0,0,81,0,0,0,0,10,2009,WD ,158000.0,11.970350312009105
299,60,RL,65.0,9313,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,864.0,864.0,GasA,Ex,Y,SBrkr,864,864,0,1728,0.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,2004.0,RFn,2.0,572.0,TA,TA,Y,187,56,0,0,0,0,0,4,2009,WD ,190000.0,12.154779351142624
300,120,RL,22.0,11064,IR2,Lvl,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1995,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,Gd,LwQ,560.0,GLQ,670.0,0.0,1230.0,GasA,Ex,Y,SBrkr,1239,0,0,1239,1.0,0.0,1,1,1,1,Gd,4,Typ,1,Fa,Attchd,1995.0,Fin,2.0,477.0,TA,TA,Y,172,24,0,0,0,0,0,8,2008,WD ,217500.0,12.289954129510877
301,50,RM,75.0,9000,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1958,1958,Gable,CompShg,WdShing,Wd Shng,BrkFace,162.0,TA,TA,CBlock,TA,TA,No,ALQ,330.0,Unf,0.0,821.0,1151.0,GasA,Gd,Y,FuseA,1151,804,0,1955,0.0,0.0,2,0,4,1,TA,7,Typ,0,None,Attchd,1958.0,Fin,1.0,356.0,TA,TA,Y,0,0,0,0,0,0,0,1,2008,WD ,165500.0,12.016726473799254
302,70,RL,75.0,12000,Reg,Bnk,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,7,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,275.0,Unf,0.0,429.0,704.0,GasA,Ex,Y,SBrkr,860,704,0,1564,0.0,0.0,1,1,3,1,Fa,7,Typ,1,Gd,Attchd,1941.0,Unf,1.0,234.0,TA,TA,Y,0,0,0,0,0,0,0,7,2009,WD ,174500.0,12.069680020624618
303,80,RL,62.0,7692,Reg,Bnk,Inside,Mod,Edwards,Norm,Norm,1Fam,SLvl,4,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Ex,TA,Av,Unf,0.0,Unf,0.0,416.0,416.0,GasA,Gd,Y,FuseA,1204,0,0,1204,0.0,0.0,1,0,3,1,TA,6,Typ,0,None,Basment,1954.0,Unf,1.0,312.0,TA,TA,Y,0,0,0,0,0,0,0,11,2008,WD ,100000.0,11.512925464970229
304,20,RL,81.0,14267,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,TA,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,Gd,6,Typ,0,None,Attchd,1958.0,Unf,1.0,312.0,TA,TA,Y,393,36,0,0,0,0,12500,6,2010,WD ,172000.0,12.05524975579559
305,20,RL,75.0,9675,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1975,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,330.0,Rec,432.0,102.0,864.0,GasA,TA,Y,SBrkr,879,0,0,879,0.0,0.0,1,0,3,1,TA,5,Typ,0,None,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,0,80,0,0,0,0,0,9,2007,Con,120000.0,11.695247021764184
306,20,RH,60.0,8400,Reg,Lvl,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,None,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,Unf,0.0,721.0,721.0,GasA,Gd,Y,SBrkr,841,0,0,841,0.0,0.0,1,0,2,1,TA,4,Typ,0,None,CarPort,1950.0,Unf,1.0,294.0,TA,TA,N,250,0,24,0,0,0,0,9,2009,WD ,82000.0,11.314474526246391
307,50,RL,50.0,7500,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,6,1947,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,784.0,784.0,GasA,Ex,Y,FuseA,900,412,0,1312,0.0,0.0,1,1,3,1,TA,6,Typ,0,None,Detchd,1953.0,Unf,2.0,649.0,TA,TA,Y,0,28,0,0,0,0,0,10,2006,WD ,127000.0,11.751942365440728
308,75,RM,60.0,9600,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,6,5,1917,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,Gd,TA,No,Rec,319.0,Unf,0.0,416.0,735.0,OthW,Fa,N,SBrkr,1134,924,0,2058,0.0,0.0,1,1,3,1,TA,8,Typ,1,Gd,Detchd,1950.0,Unf,2.0,396.0,Fa,Fa,P,0,0,259,0,0,0,0,4,2008,WD ,129500.0,11.771436160121729
309,120,RL,43.0,5814,IR1,Lvl,CulDSac,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,1036.0,Unf,0.0,184.0,1220.0,GasA,Gd,Y,SBrkr,1360,0,0,1360,1.0,0.0,1,0,1,1,Gd,4,Typ,1,Ex,Attchd,1984.0,RFn,2.0,565.0,TA,TA,Y,63,0,0,0,0,0,0,8,2009,COD,187500.0,12.141534124392603
310,20,RL,75.0,14860,IR2,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1538.0,Unf,0.0,240.0,1778.0,GasA,Ex,Y,SBrkr,1786,0,0,1786,1.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2002.0,RFn,3.0,715.0,TA,TA,Y,182,35,0,0,0,0,0,6,2008,WD ,300000.0,12.611537753638338
311,60,RL,75.0,14803,IR1,Lvl,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,252.0,TA,TA,CBlock,TA,TA,No,Rec,416.0,Unf,0.0,409.0,825.0,GasA,Gd,Y,SBrkr,1097,896,0,1993,0.0,0.0,2,1,4,1,TA,8,Typ,1,Gd,Attchd,1971.0,RFn,2.0,495.0,TA,TA,Y,0,66,0,0,0,0,0,6,2006,WD ,190000.0,12.154779351142624
312,50,RL,50.0,7550,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,5,1920,1950,Gambrel,CompShg,MetalSd,MetalSd,None,0.0,Fa,Fa,BrkTil,TA,Fa,No,Unf,0.0,Unf,0.0,951.0,951.0,GasW,Fa,N,SBrkr,986,376,0,1362,0.0,0.0,2,0,4,1,TA,7,Typ,0,None,Detchd,1920.0,Unf,1.0,280.0,Fa,TA,P,0,0,0,0,0,0,0,3,2007,WD ,96000.0,11.472103470449973
313,60,FV,65.0,8125,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,Stone,100.0,Gd,TA,PConc,Gd,TA,No,GLQ,812.0,Unf,0.0,280.0,1092.0,GasA,Ex,Y,SBrkr,1112,438,0,1550,1.0,0.0,2,0,2,1,Gd,7,Typ,0,None,Attchd,2007.0,Fin,2.0,438.0,TA,TA,Y,0,168,0,0,0,0,0,10,2009,WD ,241000.0,12.392552212472792
314,20,RL,40.0,13673,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1140.0,1140.0,GasA,TA,Y,SBrkr,1696,0,0,1696,0.0,0.0,1,1,3,1,TA,8,Min2,1,TA,Attchd,1962.0,RFn,1.0,349.0,TA,TA,Y,0,30,0,0,0,0,0,3,2007,WD ,143900.0,11.876873892875459
315,160,RM,21.0,1533,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,5,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,408.0,Unf,0.0,138.0,546.0,GasA,TA,Y,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,TA,5,Typ,0,None,CarPort,1970.0,Unf,1.0,286.0,TA,TA,Y,0,0,0,0,0,0,0,12,2006,WD ,87550.0,11.379965337713998
316,120,RL,61.0,7658,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,Unf,0.0,1296.0,1752.0,GasA,Ex,Y,SBrkr,1752,0,0,1752,1.0,0.0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2.0,576.0,TA,TA,Y,196,82,0,0,0,0,0,2,2010,WD ,319900.0,12.675763725937609
317,60,RL,63.0,12292,IR1,HLS,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,9,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,184.0,Gd,TA,PConc,Ex,Gd,Gd,GLQ,205.0,Unf,0.0,889.0,1094.0,GasA,Ex,Y,SBrkr,1102,1371,0,2473,0.0,0.0,2,1,4,1,Gd,11,Typ,1,Gd,BuiltIn,2006.0,Fin,3.0,675.0,TA,TA,Y,246,39,0,0,0,0,0,7,2006,New,356383.0,12.783761274226782
318,20,RL,122.0,11923,IR1,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1800.0,1800.0,GasA,Ex,Y,SBrkr,1800,0,0,1800,0.0,0.0,2,0,2,1,Ex,7,Typ,0,None,Attchd,2007.0,Fin,2.0,702.0,TA,TA,Y,288,136,0,0,0,0,0,5,2009,WD ,239000.0,12.384218830913648
319,60,RL,91.0,10010,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1994,Hip,WdShake,VinylSd,VinylSd,BrkFace,320.0,Gd,TA,PConc,Gd,TA,Av,BLQ,228.0,GLQ,852.0,0.0,1080.0,GasA,Ex,Y,SBrkr,1108,1089,0,2197,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1993.0,Fin,3.0,783.0,TA,TA,Y,385,99,0,0,0,0,0,7,2008,WD ,287500.0,12.568978139219542
320,50,RM,60.0,12358,IR1,Lvl,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,360.0,Unf,0.0,360.0,720.0,GasA,TA,Y,SBrkr,854,0,528,1382,0.0,0.0,1,1,2,1,TA,7,Typ,0,None,Detchd,1991.0,Unf,2.0,660.0,TA,TA,Y,237,0,0,0,0,0,0,5,2007,WD ,128500.0,11.763684183317412
321,60,RL,63.0,8577,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,Y,SBrkr,847,886,0,1733,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,433.0,TA,TA,Y,144,48,0,0,0,0,0,4,2010,WD ,185088.0,12.128586666638327
322,20,FV,72.0,8640,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1402.0,1402.0,GasA,Ex,Y,SBrkr,1402,0,0,1402,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2008.0,RFn,2.0,625.0,TA,TA,Y,205,126,0,0,0,0,0,5,2009,WD ,229800.0,12.344964644396793
323,20,RL,62.0,10447,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,Plywood,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,516.0,Unf,0.0,348.0,864.0,GasA,TA,Y,SBrkr,887,0,0,887,0.0,1.0,1,0,3,1,TA,5,Typ,0,None,Attchd,1984.0,RFn,1.0,288.0,TA,TA,Y,140,0,0,0,0,0,0,12,2007,WD ,124500.0,11.732060994886899
324,20,RL,80.0,9600,Reg,Lvl,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,758.0,Unf,0.0,293.0,1051.0,GasA,Gd,Y,SBrkr,1051,0,0,1051,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,1968.0,RFn,2.0,504.0,TA,TA,Y,0,0,0,0,0,0,0,7,2006,WD ,142000.0,11.863582336583399
325,70,RL,69.0,4899,Reg,HLS,Corner,Gtl,SWISU,Norm,Norm,1Fam,2Story,6,8,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,305.0,Unf,0.0,450.0,755.0,GasA,Ex,Y,SBrkr,755,755,0,1510,0.0,0.0,1,0,3,1,TA,6,Typ,0,None,Detchd,1920.0,Unf,1.0,216.0,TA,TA,Y,0,0,164,0,0,0,0,6,2006,WD ,149000.0,11.911701584927597
326,90,RL,87.0,9246,IR1,Lvl,Inside,Gtl,NWAmes,Feedr,Norm,Duplex,1Story,5,5,1973,1973,Gable,CompShg,Plywood,Plywood,BrkFace,564.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1656.0,1656.0,GasA,TA,Y,SBrkr,1656,0,0,1656,0.0,0.0,2,0,4,2,TA,8,Typ,0,None,Detchd,1973.0,Unf,2.0,506.0,TA,TA,Y,0,211,0,0,0,0,0,11,2008,WD ,135000.0,11.813030057420567
327,120,RL,43.0,4928,IR1,Lvl,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,120.0,Unf,0.0,958.0,1078.0,GasA,TA,Y,SBrkr,958,0,0,958,0.0,0.0,2,0,2,1,TA,5,Typ,1,TA,Attchd,1977.0,RFn,2.0,440.0,TA,TA,Y,0,205,0,0,0,0,0,2,2007,WD ,128000.0,11.759785542901755
328,20,RL,84.0,7476,Reg,Lvl,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,812.0,Unf,0.0,228.0,1040.0,GasA,TA,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,1,3,1,TA,5,Typ,0,None,Detchd,1991.0,Fin,2.0,686.0,TA,TA,Y,188,0,0,0,0,0,0,6,2007,WD ,145000.0,11.884489021402711
329,50,RL,53.0,5362,Reg,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1910,2003,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,661.0,661.0,GasA,Ex,Y,SBrkr,661,589,0,1250,0.0,0.0,2,0,3,1,TA,8,Typ,1,Gd,Detchd,1985.0,Unf,2.0,552.0,TA,TA,Y,242,0,81,0,0,0,0,11,2007,WD ,139000.0,11.842229212112828
330,80,RL,78.0,12090,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,6,7,1984,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,74.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,585.0,585.0,GasA,Ex,Y,SBrkr,1140,728,0,1868,0.0,0.0,3,1,3,1,TA,7,Typ,1,TA,BuiltIn,1984.0,Fin,2.0,477.0,TA,TA,Y,268,112,0,0,147,0,0,1,2007,WD ,178000.0,12.089538829274222
331,60,RL,96.0,12539,Reg,Lvl,Inside,Gtl,NridgHt,PosN,Norm,1Fam,2Story,10,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,468.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1082.0,Unf,0.0,538.0,1620.0,GasA,Ex,Y,SBrkr,1632,1158,0,2790,1.0,0.0,2,1,4,1,Ex,10,Typ,1,Ex,BuiltIn,2005.0,Fin,4.0,1150.0,TA,TA,Y,30,200,0,0,192,0,0,6,2008,WD ,460000.0,13.038981768465277
332,75,RL,65.0,11888,IR1,Bnk,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,844.0,844.0,GasA,Gd,N,FuseA,1445,689,0,2134,0.0,0.0,2,0,5,1,Gd,10,Typ,0,None,Detchd,1930.0,Unf,2.0,441.0,TA,TA,Y,0,60,268,0,0,0,0,7,2009,WD ,214500.0,12.27606501735021
333,190,RH,60.0,7082,Reg,Lvl,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,5,8,1916,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,Mn,Unf,0.0,Unf,0.0,686.0,686.0,GasA,Gd,Y,SBrkr,948,980,0,1928,0.0,0.0,2,0,5,2,TA,10,Typ,0,None,None,0.0,None,0.0,0.0,None,None,N,0,0,228,0,0,0,0,7,2006,WD ,160000.0,11.982929094215963
334,60,RL,75.0,8755,IR1,Lvl,FR2,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,298.0,Gd,TA,PConc,Gd,TA,No,ALQ,772.0,Unf,0.0,220.0,992.0,GasA,Ex,Y,SBrkr,1022,1038,0,2060,1.0,0.0,2,1,3,1,Gd,8,Typ,1,TA,BuiltIn,1999.0,RFn,2.0,390.0,TA,TA,Y,0,0,0,168,0,0,0,6,2009,WD ,214000.0,12.273731294003989
335,50,RM,68.0,4080,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1935,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,901.0,901.0,GasA,Gd,Y,SBrkr,861,517,0,1378,0.0,0.0,1,0,3,1,Gd,6,Typ,0,None,Detchd,1920.0,Unf,1.0,162.0,Fa,Fa,P,54,0,40,0,0,0,0,6,2009,WD ,128900.0,11.766792188927278
336,190,RL,60.0,32463,Reg,Low,Inside,Mod,Mitchel,Norm,Norm,2fmCon,1Story,4,4,1961,1975,Gable,CompShg,MetalSd,MetalSd,Stone,149.0,TA,Gd,CBlock,TA,TA,Av,BLQ,1159.0,Unf,0.0,90.0,1249.0,GasA,Ex,Y,SBrkr,1622,0,0,1622,1.0,0.0,1,0,3,1,TA,7,Typ,1,TA,2Types,1975.0,Fin,4.0,1356.0,TA,TA,Y,439,0,0,0,0,0,0,3,2007,WD ,168000.0,12.031719258385396
337,60,FV,112.0,12217,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2007,Hip,CompShg,WdShing,Wd Shng,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,745.0,Unf,0.0,210.0,955.0,GasA,Ex,Y,SBrkr,955,925,0,1880,1.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2007.0,Fin,3.0,880.0,TA,TA,Y,168,127,0,0,0,0,0,12,2007,New,310013.0,12.644369511065932
338,120,RL,43.0,3696,Reg,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1986,1986,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,1074.0,1074.0,GasA,Ex,Y,SBrkr,1088,0,0,1088,0.0,0.0,1,1,2,1,Gd,5,Typ,0,None,Attchd,1987.0,RFn,2.0,461.0,TA,TA,Y,0,74,137,0,0,0,0,10,2007,WD ,170000.0,12.043553716032399
339,20,RL,70.0,7560,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,369.0,Unf,0.0,671.0,1040.0,GasA,TA,Y,FuseA,1040,0,0,1040,0.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,1959.0,RFn,1.0,286.0,TA,TA,Y,140,0,252,0,0,0,0,7,2006,WD ,133700.0,11.803353763090035
340,70,RL,55.0,10592,Reg,Lvl,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7,1923,1996,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,PConc,TA,Fa,No,Unf,0.0,Unf,0.0,602.0,602.0,GasA,TA,Y,SBrkr,900,602,0,1502,0.0,0.0,1,1,3,1,Gd,7,Typ,2,TA,Detchd,1923.0,Unf,1.0,180.0,TA,TA,Y,96,0,112,0,53,0,0,8,2007,WD ,165000.0,12.013700752882718
341,160,RM,21.0,1680,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,TA,TA,CBlock,TA,TA,No,ALQ,358.0,Unf,0.0,125.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,5,Typ,0,None,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,0,8,2008,WD ,89500.0,11.401993904262946
342,190,RL,75.0,10382,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,2fmCon,SLvl,6,5,1958,1958,Hip,CompShg,HdBoard,HdBoard,BrkFace,105.0,TA,Fa,CBlock,TA,TA,Gd,ALQ,513.0,Unf,0.0,75.0,588.0,GasA,TA,Y,SBrkr,1095,0,0,1095,1.0,0.0,1,0,2,1,TA,6,Typ,0,None,Attchd,1958.0,RFn,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,0,3,2006,ConLD,140000.0,11.84939770159144
343,160,RM,24.0,2522,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,970.0,970.0,GasA,Ex,Y,SBrkr,970,739,0,1709,0.0,0.0,2,0,3,1,Gd,7,Maj1,0,None,Detchd,2004.0,Unf,2.0,380.0,TA,TA,Y,0,40,0,0,0,0,0,5,2006,WD ,134000.0,11.805595078933049
344,60,RL,70.0,9370,IR2,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,758.0,Unf,0.0,78.0,836.0,GasA,Ex,Y,SBrkr,844,887,0,1731,1.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,1992.0,RFn,2.0,462.0,TA,TA,Y,307,85,0,0,224,0,3000,10,2006,WD ,248500.0,12.423198124518821
345,80,RL,78.0,10246,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,4,9,1965,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Gd,Av,GLQ,648.0,Unf,0.0,0.0,648.0,GasA,Ex,Y,SBrkr,960,0,0,960,1.0,1.0,0,0,0,1,TA,3,Typ,0,None,Attchd,1965.0,Unf,1.0,364.0,TA,TA,Y,88,0,0,0,0,0,0,5,2006,WD ,145000.0,11.884489021402711
